subset,endpoint,stratum_or_contrast,effect,n,patients,events,estimate,ci_low,ci_high,n_boot,n_boot_valid,seed
first_parent24,icu24,Total,proportion,19370,19370,2740,0.14145585957666496,0.13660299432111514,0.14636164171399071,2000,2000,202609090
first_parent24,imv24,Low,proportion,14846,14846,214,0.014414657146706183,0.01247635733472863,0.01636356875287934,2000,2000,202609091
first_parent24,imv24,Intermediate,proportion,3407,3407,311,0.09128265336072791,0.08218648775110587,0.1013718394231626,2000,2000,202609091
first_parent24,imv24,High,proportion,778,778,186,0.2390745501285347,0.2114567657276269,0.26894542794656573,2000,2000,202609091
first_parent24,imv24,High_minus_Low,absolute_difference,19031,19031,711,0.22465989298182854,0.1971381870285604,0.2542745176802203,2000,2000,202609091
first_parent24,imv24,Intermediate_minus_Low,absolute_difference,19031,19031,711,0.07686799621402172,0.06746753825345045,0.08730928810530263,2000,2000,202609091
first_parent24,imv24,Total,proportion,19031,19031,711,0.0373600966843571,0.0346277126793127,0.040145026535652356,2000,2000,202609091
first_parent24,pressor24,Low,proportion,14846,14846,125,0.008419776370739594,0.006929110322347649,0.00999535914340145,2000,2000,202609092
first_parent24,pressor24,Intermediate,proportion,3409,3409,190,0.05573481959518921,0.04783245517329766,0.06370407008696215,2000,2000,202609092
first_parent24,pressor24,High,proportion,778,778,143,0.18380462724935734,0.15628871505717917,0.21066328565236236,2000,2000,202609092
first_parent24,pressor24,High_minus_Low,absolute_difference,19033,19033,458,0.17538485087861774,0.1482021340272245,0.20204717739344913,2000,2000,202609092
first_parent24,pressor24,Intermediate_minus_Low,absolute_difference,19033,19033,458,0.04731504322444961,0.03950146313564888,0.055423477884412264,2000,2000,202609092
first_parent24,pressor24,Total,proportion,19033,19033,458,0.024063468712236642,0.021909315399569168,0.02627016234960332,2000,2000,202609092
landmark60_24,icu24,Low,proportion,26765,15888,1999,0.0746870913506445,0.07114137277852811,0.0783277292620903,2000,2000,202609100
landmark60_24,icu24,Intermediate,proportion,6919,4498,1789,0.258563376210435,0.24694740141419358,0.270519903526277,2000,2000,202609100
landmark60_24,icu24,High,proportion,1586,1215,741,0.4672131147540984,0.4398727685352299,0.4961687045507859,2000,2000,202609100
landmark60_24,icu24,High_minus_Low,absolute_difference,35270,19188,4529,0.3925260234034539,0.36496711858194986,0.42085806876462256,2000,2000,202609100
landmark60_24,icu24,Intermediate_minus_Low,absolute_difference,35270,19188,4529,0.18387628485979052,0.1723503265904287,0.19588480690497015,2000,2000,202609100
landmark60_24,icu24,Total,proportion,35270,19188,4529,0.12840941309895096,0.12417965606231814,0.13274933328672517,2000,2000,202609100
