lead,time_from_QRS_s,high_risk_median_mV,low_risk_median_mV,high_risk_mean_absolute_IG,high_risk_n,low_risk_n
V2,-0.17,-0.006548289209604263,-0.015452764462679625,3.574587419340599e-05,507,1022
V2,-0.16,-0.006936578545719385,-0.01598779670894146,3.590581143823971e-05,507,1022
V2,-0.15,-0.00961434468626976,-0.019995151087641716,3.439926908193691e-05,507,1022
V2,-0.14,-0.013425299897789955,-0.024164381437003613,3.366607956756763e-05,507,1022
V2,-0.13,-0.01352133508771658,-0.030372691340744495,3.296052695504701e-05,507,1022
V2,-0.12,-0.01625194028019905,-0.03337052837014198,3.0219165563878477e-05,507,1022
V2,-0.11,-0.017511090263724327,-0.03564075566828251,3.0467509300063445e-05,507,1022
V2,-0.1,-0.016473316121846437,-0.03656153008341789,2.8749883011163333e-05,507,1022
V2,-0.09,-0.017264876514673233,-0.03737879358232021,2.874725919386815e-05,507,1022
V2,-0.08,-0.016755365766584873,-0.03528009541332722,3.317417543637479e-05,507,1022
V2,-0.07,-0.015331787057220936,-0.03645269572734833,4.07903883431624e-05,507,1022
V2,-0.06,-0.014768622815608978,-0.03356547001749277,5.197175545006717e-05,507,1022
V2,-0.05,-0.009235494071617723,-0.03297230415046215,6.470417453314977e-05,507,1022
V2,-0.04,-0.003552009118720889,-0.017996610142290592,9.01509690647266e-05,507,1022
V2,-0.03,0.024650288745760918,0.04524953290820122,0.0001699891086626932,507,1022
V2,-0.02,0.03264095913618803,0.14895576238632202,0.00028588075163285076,507,1022
V2,-0.01,-0.0650523230433464,0.048707542940974236,0.00040968838201400584,507,1022
V2,0.0,-0.35457830131053925,-0.43004321306943893,0.0005071496349184583,507,1022
V2,0.01,-0.4339524805545807,-0.643792524933815,0.00048255956451198964,507,1022
V2,0.02,-0.28856414556503296,-0.4571067988872528,0.0003147895492234571,507,1022
V2,0.03,-0.13200511038303375,-0.18013468757271767,0.0001729103667232925,507,1022
V2,0.04,-0.05258675292134285,-0.049869769252836704,0.00010974989006629197,507,1022
V2,0.05,-0.020977796986699104,-0.009115406428463757,7.299403349894902e-05,507,1022
V2,0.06,-0.005507550667971373,0.00838908867444843,5.2032149093966244e-05,507,1022
V2,0.07,0.002455413923598826,0.0190757904201746,4.132736058981909e-05,507,1022
V2,0.08,0.005473898956552148,0.024225875735282898,3.652083230693266e-05,507,1022
V2,0.09,0.009073288878425956,0.030715242959558964,3.56215126869593e-05,507,1022
V2,0.1,0.011559824459254742,0.03403380140662193,3.8059326117550725e-05,507,1022
V2,0.11,0.013969114981591702,0.04025970585644245,4.170138526323242e-05,507,1022
V2,0.12,0.016252435743808746,0.04486730229109526,4.50246643144838e-05,507,1022
V2,0.13,0.020008696243166924,0.05368310026824474,4.869858083504047e-05,507,1022
V2,0.14,0.025359597988426685,0.05936173349618912,5.491868667389976e-05,507,1022
V2,0.15,0.03008973505347967,0.0680034440010786,6.008267357992047e-05,507,1022
V2,0.16,0.038000915199518204,0.07854531332850456,6.824501229047323e-05,507,1022
V2,0.17,0.04055779054760933,0.09029220044612885,7.597552077892885e-05,507,1022
V2,0.18,0.04776276275515556,0.10332454182207584,8.302404987350224e-05,507,1022
V2,0.19,0.05526477098464966,0.11626360937952995,9.56465397781139e-05,507,1022
V2,0.2,0.06270363181829453,0.12434717826545238,0.00010165810657601629,507,1022
V2,0.21,0.05969733186066151,0.13829433545470238,0.00010528628575194792,507,1022
V2,0.22,0.06768591701984406,0.1444992572069168,0.00010599834313414109,507,1022
V2,0.23,0.059346018359065056,0.14590992778539658,0.00010381048763841588,507,1022
V2,0.24,0.055200278759002686,0.1381068415939808,0.0001026546770433145,507,1022
V2,0.25,0.04980294220149517,0.12544651329517365,9.671043097129217e-05,507,1022
V2,0.26,0.048093244433403015,0.10956527665257454,9.486124031438995e-05,507,1022
V2,0.27,0.038413796573877335,0.08880362287163734,9.474830530096033e-05,507,1022
V2,0.28,0.03327160328626633,0.06493270583450794,9.019955815643933e-05,507,1022
V2,0.29,0.023875238373875618,0.046530699357390404,8.38838080650302e-05,507,1022
V2,0.3,0.016408253461122513,0.03121586050838232,7.67886313074005e-05,507,1022
V2,0.31,0.01162453810684383,0.019356805365532637,7.183171401557821e-05,507,1022
V2,0.32,0.009557502809911966,0.009882868966087699,6.491372567395977e-05,507,1022
V2,0.33,0.009955469518899918,0.0034074142458848655,6.222196497262124e-05,507,1022
V2,0.34,0.005940644536167383,0.0009441252839224035,6.136994106963299e-05,507,1022
V2,0.35,0.004241186659783125,-0.00040580600034445524,5.857382196247464e-05,507,1022
V2,0.36,0.0032010392751544714,-0.0014289517421275377,5.734565384668705e-05,507,1022
V2,0.37,0.0013766007032245398,-0.0020332536951173097,5.6026103727524707e-05,507,1022
V2,0.38,0.001537066767923534,-0.003300046781077981,5.5900048101977354e-05,507,1022
V2,0.39,-0.0003352661442477256,-0.003347018384374678,5.741416232304994e-05,507,1022
V2,0.4,0.0007869261899031699,-0.004006300587207079,5.622238605254406e-05,507,1022
V2,0.41,-0.0007914650777820498,-0.003177585080265999,5.3261321322081095e-05,507,1022
V2,0.42,-0.0012356149090919644,-0.0026702048489823937,5.575314993276991e-05,507,1022
V2,0.43,-0.0025942628271877766,-0.002709000778850168,6.327913144622924e-05,507,1022
V2,0.44,-0.0012079066364094615,-0.002425004029646516,7.032012416022799e-05,507,1022
V2,0.45,-0.0023170376662164927,-0.0029203438898548484,7.294531949456446e-05,507,1022
V2,0.46,-0.001968270167708397,-0.004227186553180218,7.28480753538373e-05,507,1022
V2,0.47,-0.003942484501749277,-0.004068905531312339,7.878911212125374e-05,507,1022
V2,0.48,-0.003990595694631338,-0.0050365126226097345,8.376229892940524e-05,507,1022
V2,0.49,-0.006434192880988121,-0.0067677434999495745,8.131387906771731e-05,507,1022
V2,0.5,-0.005257892422378063,-0.008133215829730034,8.611275489765675e-05,507,1022
V2,0.51,-0.004740234464406967,-0.009546367917209864,8.903248803842088e-05,507,1022
V2,0.52,-0.006662668893113732,-0.010766447987407446,9.567507197785556e-05,507,1022
V2,0.53,-0.0067253815941512585,-0.012278798501938581,9.80121944272111e-05,507,1022
V2,0.54,-0.004328482318669558,-0.015652189264073968,9.904307123171041e-05,507,1022
