lead,time_from_QRS_s,high_pointwise_2.5pct,high_pointwise_97.5pct,low_pointwise_2.5pct,low_pointwise_97.5pct,difference_pointwise_2.5pct,difference_pointwise_97.5pct,IG_pointwise_2.5pct,IG_pointwise_97.5pct
V1,-0.32,0.0008783447556197643,0.00609403065172955,0.004237030167132616,0.007344658218789844,-0.005019790643746092,0.0009691707600723017,5.8075191350096645e-05,7.01951554993245e-05
V1,-0.31,0.002219142687681597,0.007570802932605147,0.003366720676422119,0.007537882047472522,-0.004293447593954625,0.0027303178725560425,5.603606408640167e-05,6.566188249555979e-05
V1,-0.3,0.0005048778999480419,0.005783481746129834,0.0037580902338959278,0.007478443693253211,-0.005822709356107225,0.0008086641289992248,5.4488444033906565e-05,6.588046794101455e-05
V1,-0.29,0.0004751328087877482,0.005983446101890876,0.004342239984543994,0.007137561170384288,-0.005721404889482073,0.0005635512177832422,5.3180936964102295e-05,6.411405672730561e-05
V1,-0.28,-0.00010633274087012962,0.00544145733147161,0.0038724170299246907,0.0067148296831874175,-0.0055089837116611305,0.0006307996241957881,4.9969156716696846e-05,5.881406517934557e-05
V1,-0.27,-0.0003039194270968437,0.004207005689386277,0.004056129269883968,0.006485119383432903,-0.006052226171232178,-0.001016653032274919,5.049709705692418e-05,5.970219083463343e-05
V1,-0.26,-0.00013870850671082735,0.005033087939955292,0.003580630979558919,0.006223729345947504,-0.005529224626661744,0.0002158884281811876,4.853324641093198e-05,5.6074592344052584e-05
V1,-0.25,-0.0008684513417392735,0.0048813101515406705,0.004392331722192467,0.006583366368431598,-0.006645326579473476,-0.00026305708743166263,5.116525783280343e-05,6.072700425727521e-05
V1,-0.24,-0.0011706708297424483,0.003490221631363961,0.003056633795495145,0.005994272883981466,-0.006144449108978734,-0.00018916380504379083,5.1178716214215156e-05,6.060233768058492e-05
V1,-0.23,-0.0007713790982961655,0.004624605815479295,0.0029944613634143025,0.005920253301155743,-0.0054178358403987655,0.000787995438440699,5.183063601295389e-05,6.0916769937381555e-05
V1,-0.22,-0.002759065479040146,0.0035834590380545693,0.0022054940105590503,0.006044504069723188,-0.006826193376036826,0.0005526422806724428,5.0235617490170354e-05,5.9711024913260045e-05
V1,-0.21,-0.0017344923995551652,0.0045077353333908814,0.0028205781414726515,0.007157471077516675,-0.007364084501750768,0.00017361135760438624,4.8762498764120674e-05,5.791574324859244e-05
V1,-0.2,-0.0031198082666378467,0.0019854192738421234,0.004030741751194,0.006908651834237388,-0.008611868269508705,-0.003002154523164794,4.8413301953128874e-05,5.653083010642232e-05
V1,-0.19,-0.0018899412076279986,0.00409608194604516,0.003523118942393921,0.006851168046705422,-0.0073554688424337655,-0.0005614767127553935,5.101709642469356e-05,5.916578069575001e-05
V1,-0.18,-0.0027310196048347278,0.00506462446355726,0.0015399208146845923,0.005674005730543285,-0.006949370742950123,0.0020954725790943395,4.9444478140301776e-05,5.798032339497263e-05
V1,-0.17,-0.006204687058925629,0.002678793223458342,-0.0008702179183387671,0.0030621841899119264,-0.007708986675061169,0.0026303454036678865,5.0369063881947616e-05,5.991824734765483e-05
V1,-0.16,-0.007774792466079816,0.0007184463611338288,-0.007505258620949462,-0.0020530934241833167,-0.0037337265093810856,0.006498983307028537,5.157518051157714e-05,6.086498078686875e-05
V1,-0.15,-0.009180358186131343,9.04793779000056e-05,-0.017808489501476288,-0.008024094277061522,0.0028262029009056278,0.016160838856012556,5.126731672111423e-05,6.161391640575901e-05
V1,-0.14,-0.00910255847265944,-0.000882405439915602,-0.02322379919933155,-0.018434968474321068,0.011239993863273411,0.020446754970907928,4.823845082300999e-05,6.0825467726360506e-05
V1,-0.13,-0.008703390136361122,-0.0019286287133581936,-0.026611579512245954,-0.020959877222776414,0.013951214170083404,0.023072075273375958,4.474045069814128e-05,5.659275546210623e-05
V1,-0.12,-0.007699541514739394,-0.0009429025260033086,-0.025937232282012702,-0.02088541832054034,0.014518029877217486,0.023552811091940386,4.063809129659738e-05,4.758587456508566e-05
V1,-0.11,-0.007672517013270408,0.0006314680009381845,-0.01994314476614818,-0.014564754429738971,0.009291420938097872,0.018901552538591198,3.744198980316845e-05,4.388579079125117e-05
V1,-0.1,-0.007396904053166509,-0.0002610917752463176,-0.013272712018806487,-0.00790496077388525,0.002324885138659738,0.0113482168817427,3.6602880850288366e-05,4.359585182951666e-05
V1,-0.09,-0.002504192387277726,0.0028101196949137375,-0.005538009462179616,-0.0014576892819604874,0.00013455861808324703,0.007063248196936907,3.409555910781892e-05,4.0700116803980015e-05
V1,-0.08,-0.0014425841363845393,0.004504638838989193,-0.0009514705543551827,0.0034161433577537537,-0.0036635500990087164,0.003529099299339577,3.4398009419720434e-05,4.1392611916247734e-05
V1,-0.07,0.0031477422453463078,0.009554313158150762,0.002976395655423403,0.007326153916073961,-0.0027676472685925547,0.005617378016904692,3.8158454066056743e-05,5.217928008187776e-05
V1,-0.06,0.003280952069326304,0.012749656679807224,0.004693911760114133,0.010029647033661604,-0.004861417596112005,0.006429013099113941,4.489571028528657e-05,6.693251917887581e-05
V1,-0.05,0.006526851677335799,0.01606684972066432,0.007685425240197219,0.012598970805993303,-0.003457089583389461,0.006811058172024786,6.062028708082004e-05,9.055645194598809e-05
V1,-0.04,0.004512998019345105,0.01638242742046714,0.015369078042567708,0.022208077972754828,-0.015192687198577914,-0.0014154657081235258,8.726747522618062e-05,0.00012303977030213707
